final_rankings__standing_player,nationality,standing_player2,final_rankings__age,final_rankings__points
1,SRB,Novak Djokovic,34,11540
2,RUS,Daniil Medvedev,25,8640
3,GER,Alexander Zverev,24,7840
4,GRE,Stefanos Tsitsipas,23,6540
5,RUS,Andrey Rublev,24,5150
6,ESP,Rafael Nadal,35,4875
7,ITA,Matteo Berrettini,25,4568
8,NOR,Casper Ruud,23,4160
9,POL,Hubert Hurkacz,24,3706
10,ITA,Jannik Sinner,20,3350
11,CAN,Felix Auger-Aliassime,21,3308
12,GBR,Cameron Norrie,26,2945
13,ARG,Diego Schwartzman,29,2625
14,CAN,Denis Shapovalov,22,2475
15,AUT,Dominic Thiem,28,2425
16,SUI,Roger Federer,40,2385
17,CHI,Cristian Garin,25,2353
18,RUS,Aslan Karatsev,28,2351
19,ESP,Roberto Bautista Agut,33,2260
20,ESP,Pablo Carreno Busta,30,2230
21,FRA,Gael Monfils,35,2158
22,GEO,Nikoloz Basilashvili,29,2101
23,USA,Taylor Fritz,24,2050
24,USA,John Isner,36,1991
25,GBR,Daniel Evans,31,1942
26,USA,Reilly Opelka,24,1936
27,ITA,Lorenzo Sonego,26,1825
28,BUL,Grigor Dimitrov,30,1801
29,RUS,Karen Khachanov,25,1731
30,CRO,Marin Cilic,33,1710
31,RSA,Lloyd Harris,24,1644
32,ESP,Carlos Alcaraz,18,1612
33,SRB,Dusan Lajovic,31,1591
34,AUS,Alex de Minaur,22,1561
35,FRA,Ugo Humbert,23,1558
36,KAZ,Alexander Bublik,24,1538
37,ITA,Fabio Fognini,34,1494
38,USA,Frances Tiafoe,23,1492
39,BEL,David Goffin,31,1476
40,HUN,Marton Fucsovics,29,1459
41,USA,Sebastian Korda,21,1426
42,SRB,Filip Krajinovic,29,1402
43,USA,Tommy Paul,24,1349
44,ARG,Federico Delbonis,31,1327
45,ESP,Albert Ramos-Vinolas,33,1294
46,FRA,Benoit Paire,32,1245
47,JPN,Kei Nishikori,31,1210
48,BLR,Ilya Ivashka,27,1194
49,AUS,James Duckworth,29,1176
50,ESP,Alejandro Davidovich Fokina,22,1160
51,GER,Jan-Lennard Struff,31,1134
52,SRB,Laslo Djere,26,1131
53,KOR,Soonwoo Kwon,24,1115
54,GER,Dominik Koepfer,27,1101
55,USA,Mackenzie McDonald,26,1084
56,USA,Jenson Brooksby,21,1063
57,NED,Botic van de Zandschulp,26,1034
58,FRA,Arthur Rinderknech,26,1029
59,ITA,Lorenzo Musetti,19,1004
60,ESP,Pedro Martinez,24,1001
61,AUS,Alexei Popyrin,22,1000
62,ITA,Gianluca Mager,27,978
63,ARG,Federico Coria,29,976
64,FRA,Benjamin Bonzi,25,969
65,NED,Tallon Griekspoor,25,966
66,USA,Marcos Giron,28,929
67,FRA,Hugo Gaston,21,919
68,USA,Brandon Nakashima,20,917
69,SRB,Miomir Kecmanovic,22,916
70,CAN,Milos Raonic,31,884
71,FRA,Adrian Mannarino,33,879
72,AUS,John Millman,32,875
73,CRO,Borna Coric,25,874
74,ARG,Guido Pella,31,866
75,AUS,Jordan Thompson,27,860
76,ARG,Facundo Bagnis,31,860
77,ESP,Jaume Munar,24,848
78,ITA,Stefano Travaglia,29,846
79,ESP,Roberto Carballes Baena,28,837
80,RSA,Kevin Anderson,35,829
81,JPN,Yoshihito Nishioka,26,823
82,SUI,Stan Wawrinka,36,822
83,CZE,Jiri Vesely,28,822
84,GER,Daniel Altmaier,23,813
85,USA,Steve Johnson,32,812
86,GER,Peter Gojowczyk,32,808
87,FRA,Richard Gasquet,35,807
88,SVK,Alex Molcan,24,806
89,BRA,Thiago Monteiro,27,805
90,ARG,Juan Manuel Cerundolo,20,803
91,ESP,Pablo Andujar,35,800
92,FRA,Corentin Moutet,22,797
93,AUS,Nick Kyrgios,26,793
94,SWE,Mikael Ymer,23,782
95,FIN,Emil Ruusuvuori,22,778
96,USA,Tennys Sandgren,30,773
97,URU,Pablo Cuevas,35,770
98,SUI,Henri Laaksonen,29,765
99,ARG,Sebastian Baez,20,762
100,ITA,Marco Cecchinato,29,759
101,GER,Oscar Otte,28,747
102,ITA,Andreas Seppi,37,744
103,DEN,Holger Rune,18,740
104,LTU,Ricardas Berankis,31,739
105,USA,Denis Kudla,29,733
106,ESP,Feliciano Lopez,40,731
107,FRA,Jeremy Chardy,34,718
108,USA,Sam Querrey,34,715
109,SLO,Aljaz Bedene,32,715
110,FRA,Pierre-Hugues Herbert,30,713
111,ESP,Carlos Taberner,24,707
112,USA,Maxime Cressy,24,683
113,BLR,Egor Gerasimov,29,665
114,GER,Philipp Kohlschreiber,38,658
115,BOL,Hugo Dellien,28,654
116,SVK,Andrej Martin,32,643
117,POL,Kamil Majchrzak,25,633
118,SVK,Norbert Gombos,31,624
119,AUT,Dennis Novak,28,621
120,COL,Daniel Elahi Galan,25,618
121,GBR,Kyle Edmund,26,601
122,FRA,Gilles Simon,36,597
123,MDA,Radu Albot,32,587
124,ESP,Bernabe Zapata Miralles,24,586
125,JPN,Taro Daniel,28,584
126,GER,Yannick Hanfmann,30,583
127,ARG,Francisco Cerundolo,23,582
128,GBR,Liam Broady,27,569
129,PER,Juan Pablo Varillas,26,567
130,ARG,Tomas Martin Etcheverry,22,556
131,BRA,Thiago Seyboth Wild,21,550
132,HUN,Attila Balazs,33,530
133,CAN,Vasek Pospisil,31,524
134,GBR,Andy Murray,34,521
135,ARG,Juan Ignacio Londero,28,512
136,AUT,Jurij Rodionov,22,510
137,AUS,Alex Bolt,28,506
138,SRB,Nikola Milojevic,26,506
139,CHI,Alejandro Tabilo,24,505
140,POR,Joao Sousa,32,500
141,CZE,Jiri Lehecka,20,484
142,CZE,Zdenek Kolar,25,481
143,CZE,Tomas Machac,21,477
144,TUR,Cem Ilkel,26,468
145,USA,Jack Sock,29,461
146,CHI,Nicolas Jarry,26,460
147,CHI,Tomas Barrios Vera,24,458
148,ECU,Emilio Gomez,30,455
